Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-01,6055.5,6059.95,6025.05,6033.3,5718648,238.74
2013-01-02,6049.9,6063.85,6018.3,6031,7275859,417.96
2013-01-03,6045.35,6111.35,6034.95,6097.6,14288651,751.66
2013-01-04,6118.5,6159.8,6108,6153.2,14690386,899.92
2013-01-07,6159.35,6190.55,6141.2,6175.45,9989383,569.4
2013-01-08,6160.75,6173.75,6115.15,6147.9,11889201,818.29
2013-01-09,6143.95,6177.3,6091.2,6101.05,10751985,625.27
2013-01-10,6109.15,6131.15,6057.45,6073.1,12195957,941.05
2013-01-11,6370.4,6654.65,6370.4,6639.85,35533400,4176.11
2013-01-14,6719.75,6846.15,6716.85,6809.5,23165837,2656.57
2013-01-15,6884.35,6898.7,6780.4,6791.5,21541818,1610.17
2013-01-16,6785.2,6792.3,6738.65,6777.95,18184400,1132.98
2013-01-17,6833.05,6896.05,6822.7,6869.45,23121070,1552.27
2013-01-18,6885.9,6890.1,6786.95,6798.7,21873228,1059.36
2013-01-21,6772.05,6823.4,6756.4,6789.4,11468105,648.99
2013-01-22,6782.45,6788.7,6731,6739.65,10133255,565.45
2013-01-23,6734,6767.85,6707.3,6725.8,14151387,804.65
2013-01-24,6742,6799.2,6732.7,6742.4,14250450,957.13
2013-01-25,6752.65,6817.85,6736.85,6800.75,18276874,735.32
2013-01-28,6796.3,6848.5,6785.4,6822.7,13114037,824.37
2013-01-29,6808.05,6849.45,6783.15,6792.3,8822745,599.19
2013-01-30,6794.95,6806.35,6776.9,6787.85,9248936,670.48
2013-01-31,6789.8,6807.75,6733,6778,12888087,1238.6
2013-02-01,6779,6802.9,6732.05,6752.65,7502737,583.92
2013-02-04,6766.65,6794.5,6728.8,6750.25,6639717,583.25
2013-02-05,6724.4,6771,6720.05,6728.7,7168106,561.12
2013-02-06,6760.6,6775.9,6738.25,6766.8,11278744,917.8
2013-02-07,6762.3,6813.15,6762.3,6799,12531757,810.52
2013-02-08,6793.75,6909.55,6793.75,6852.7,13270003,997.95
2013-02-11,6872.9,6890.75,6826.3,6832.05,21861159,964.72
2013-02-12,6799.9,6809.25,6766.75,6791.9,9377666,544.05
2013-02-13,6796.45,6897.75,6779.65,6884.15,11990584,878.95
2013-02-14,6878.25,6939.75,6878.25,6900.35,14181569,915.1
2013-02-15,6866.7,6876.35,6826.5,6864.15,9172831,600.7
2013-02-18,6853.35,6858.85,6808,6834.7,7593063,380.05
2013-02-19,6832,6944,6813.55,6936.25,10285354,467.15
2013-02-20,6937.4,6977.7,6937.4,6972.05,12936489,911.49
2013-02-21,6929.5,6985.3,6924.8,6939.85,15307119,896
2013-02-22,6924.45,7018.55,6924.45,6992.85,12939296,725.4
2013-02-25,7026.2,7126.95,7026.2,7095.2,29061664,990.94
2013-02-26,7082.85,7172.05,7082.85,7156.75,24279074,1044.54
2013-02-27,7144.85,7155.9,7064.3,7072.5,40304753,915.72
2013-02-28,7084.8,7160.75,7069.65,7106.65,30903940,1373.14
2013-03-01,7116.3,7171.95,7090.95,7117.7,33814388,1000.69
2013-03-04,7112.5,7163.7,7062.6,7101.65,19131689,920.27
2013-03-05,7131.8,7205.8,7117.6,7200.2,19634280,952.67
2013-03-06,7227.7,7314.9,7226.75,7305.9,14098919,957.09
