Date,Open,High,Low,Close,Shares Traded,Tur11er (Rs. Cr)
2013-03-01,3614.55,3649.35,3602.9,3617.75,-0,-0
2013-03-04,3597.25,3604.2,3565.95,3593.6,-0,-0
2013-03-05,3620.6,3669.25,3619.9,3664.6,-0,-0
2013-03-06,3684.1,3695.65,3668.55,3675.95,-0,-0
2013-03-07,3663.15,3732.1,3663.15,3722.95,-0,-0
2013-03-08,3741.35,3796.2,3736.85,3790.6,-0,-0
2013-03-11,3789.1,3817.45,3775.5,3786.55,-0,-0
2013-03-12,3797.95,3803.5,3756.35,3774.75,-0,-0
2013-03-13,3768.05,3774.5,3728.75,3737.15,-0,-0
2013-03-14,3726.65,3785.7,3681.6,3777.35,-0,-0
2013-03-15,3785.2,3806.95,3747.8,3758.85,-0,-0
2013-03-18,3710.05,3742.6,3708.55,3732.9,-0,-0
2013-03-19,3759.5,3765.85,3650,3657.55,-0,-0
2013-03-20,3647.4,3660.4,3618.35,3627.25,-0,-0
2013-03-21,3642.4,3676.25,3604.4,3612.55,-0,-0
2013-03-22,3612.65,3629.15,3586.95,3604.25,-0,-0
2013-03-25,3655.4,3663.35,3596.65,3603.75,-0,-0
2013-03-26,3577.65,3608.75,3576.55,3598.75,-0,-0
2013-03-28,3594.35,3631.7,3569.95,3624.45,-0,-0
2013-04-01,-0,-0,-0,3634.14,-0,-0
2013-04-02,-0,-0,-0,3665.65,-0,-0
2013-04-03,-0,-0,-0,3614.11,-0,-0
2013-04-04,-0,-0,-0,3534.84,-0,-0
2013-04-05,-0,-0,-0,3506.19,-0,-0
2013-04-08,-0,-0,-0,3509.82,-0,-0
2013-04-09,-0,-0,-0,3496.15,-0,-0
2013-04-10,-0,-0,-0,3531.9,-0,-0
2013-04-11,-0,-0,-0,3554.34,-0,-0
2013-04-12,-0,-0,-0,3518.66,-0,-0
2013-04-15,-0,-0,-0,3532.1,-0,-0
2013-04-16,-0,-0,-0,3628.31,-0,-0
2013-04-17,-0,-0,-0,3654.17,-0,-0
2013-04-18,-0,-0,-0,3708.78,-0,-0
2013-04-22,-0,-0,-0,3732.24,-0,-0
2013-04-23,-0,-0,-0,3724.68,-0,-0
2013-04-25,-0,-0,-0,3784.26,-0,-0
2013-04-26,-0,-0,-0,3747.15,-0,-0
2013-04-29,-0,-0,-0,3769.14,-0,-0
2013-04-30,-0,-0,-0,3789.84,-0,-0
2013-05-02,-0,-0,-0,3868.52,-0,-0
2013-05-03,-0,-0,-0,3817.52,-0,-0
2013-05-06,-0,-0,-0,3835.01,-0,-0
2013-05-07,-0,-0,-0,3858.14,-0,-0
2013-05-08,-0,-0,-0,3882.97,-0,-0
2013-05-09,-0,-0,-0,3864.91,-0,-0
2013-05-10,-0,-0,-0,3871.98,-0,-0
2013-05-11,-0,-0,-0,3879.94,-0,-0
2013-05-13,-0,-0,-0,3773.51,-0,-0
2013-05-14,-0,-0,-0,3802.85,-0,-0
2013-05-15,-0,-0,-0,3887.77,-0,-0
2013-05-16,-0,-0,-0,3903.19,-0,-0
2013-05-17,-0,-0,-0,3906.05,-0,-0
2013-05-20,-0,-0,-0,3876.24,-0,-0
2013-05-21,-0,-0,-0,3849.11,-0,-0
2013-05-22,-0,-0,-0,3803.44,-0,-0
2013-05-23,-0,-0,-0,3692.71,-0,-0
2013-05-24,-0,-0,-0,3728.46,-0,-0
2013-05-27,-0,-0,-0,3789.69,-0,-0
2013-05-28,-0,-0,-0,3798.83,-0,-0
2013-05-29,-0,-0,-0,3760.71,-0,-0
2013-05-30,-0,-0,-0,3782.55,-0,-0
2013-05-31,-0,-0,-0,3671.29,-0,-0
2013-06-03,-0,-0,-0,3637.65,-0,-0
2013-06-04,-0,-0,-0,3621.12,-0,-0
2013-06-05,-0,-0,-0,3637.85,-0,-0
2013-06-06,-0,-0,-0,3607.88,-0,-0
2013-06-07,-0,-0,-0,3591.13,-0,-0
2013-06-10,-0,-0,-0,3524.86,-0,-0
2013-06-11,-0,-0,-0,3403.99,-0,-0
2013-06-12,-0,-0,-0,3425.05,-0,-0
2013-06-13,-0,-0,-0,3380.59,-0,-0
2013-06-14,-0,-0,-0,3485.58,-0,-0
2013-06-17,-0,-0,-0,3511.19,-0,-0
2013-06-18,-0,-0,-0,3446.3,-0,-0
2013-06-19,-0,-0,-0,3434.2,-0,-0
2013-06-20,-0,-0,-0,3282.7,-0,-0
2013-06-21,-0,-0,-0,3308.9,-0,-0
2013-06-24,-0,-0,-0,3242.75,-0,-0
2013-06-25,-0,-0,-0,3255.37,-0,-0
2013-06-26,-0,-0,-0,3235.36,-0,-0
2013-06-27,-0,-0,-0,3249.7,-0,-0
2013-06-28,-0,-0,-0,3390.85,-0,-0
2013-07-01,-0,-0,-0,3455.6,-0,-0
2013-07-02,-0,-0,-0,3416.08,-0,-0
2013-07-03,-0,-0,-0,3327.12,-0,-0
2013-07-04,-0,-0,-0,3365.76,-0,-0
2013-07-05,-0,-0,-0,3369.66,-0,-0
2013-07-08,-0,-0,-0,3298.68,-0,-0
2013-07-09,-0,-0,-0,3379.37,-0,-0
2013-07-10,-0,-0,-0,3351.72,-0,-0
2013-07-11,-0,-0,-0,3448.08,-0,-0
2013-07-12,-0,-0,-0,3476.22,-0,-0
2013-07-15,-0,-0,-0,3479.84,-0,-0
2013-07-16,-0,-0,-0,3474.34,-0,-0
2013-07-17,-0,-0,-0,3486.63,-0,-0
2013-07-18,-0,-0,-0,3503.78,-0,-0
2013-07-19,-0,-0,-0,3493.8,-0,-0
2013-07-22,-0,-0,-0,3518.09,-0,-0
2013-07-23,-0,-0,-0,3528.31,-0,-0
2013-07-24,-0,-0,-0,3491.74,-0,-0
2013-07-25,-0,-0,-0,3472.85,-0,-0
2013-07-26,-0,-0,-0,3462,-0,-0
2013-07-29,-0,-0,-0,3407.7,-0,-0
2013-07-30,-0,-0,-0,3333.11,-0,-0
2013-07-31,-0,-0,-0,3255.5,-0,-0
2013-08-01,-0,-0,-0,3267.4,-0,-0
2013-08-02,-0,-0,-0,3235.67,-0,-0
2013-08-05,-0,-0,-0,3238.96,-0,-0
2013-08-06,-0,-0,-0,3120.78,-0,-0
2013-08-07,-0,-0,-0,3114.91,-0,-0
2013-08-08,-0,-0,-0,3155.54,-0,-0
2013-08-12,-0,-0,-0,3198.37,-0,-0
2013-08-13,-0,-0,-0,3214.5,-0,-0
2013-08-14,-0,-0,-0,3234.46,-0,-0
2013-08-16,-0,-0,-0,3087.15,-0,-0
2013-08-19,-0,-0,-0,3009.35,-0,-0
2013-08-20,-0,-0,-0,2936.6,-0,-0
2013-08-21,-0,-0,-0,2895.25,-0,-0
2013-08-22,-0,-0,-0,2864.59,-0,-0
2013-08-23,-0,-0,-0,2930.94,-0,-0
2013-08-26,-0,-0,-0,2954.19,-0,-0
2013-08-27,-0,-0,-0,2789.96,-0,-0
2013-08-28,-0,-0,-0,2678.79,-0,-0
2013-08-29,-0,-0,-0,2768.2,-0,-0
2013-08-30,-0,-0,-0,2847.92,-0,-0
2013-09-02,-0,-0,-0,2920.3,-0,-0
2013-09-03,-0,-0,-0,2767.06,-0,-0
2013-09-04,-0,-0,-0,2816.35,-0,-0
