Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-01,2532.65,2552.6,2532.65,2550,55760168,1192.87
2013-01-02,2562.9,2577.45,2562.9,2566.9,74424122,1513.61
2013-01-03,2574.75,2585.1,2569.9,2581.1,81504049,1539.46
2013-01-04,2578.9,2590.65,2571.3,2587.3,75951567,1705.51
2013-01-07,2597.3,2612.8,2585.35,2599.4,128743375,2210.41
2013-01-08,2598.45,2598.45,2571.2,2589.85,68054530,1557.95
2013-01-09,2594.95,2600.85,2560.9,2572.4,100155547,1940.62
2013-01-10,2585.3,2595.2,2553.65,2559.85,100624997,2136.65
2013-01-11,2561.4,2563.7,2509.95,2514.75,67959738,1480.3
2013-01-14,2517.35,2551.35,2504.75,2544.45,64641184,1417.2
2013-01-15,2543.45,2566.95,2542.1,2564.65,69236115,1549.1
2013-01-16,2561.1,2568.3,2531.15,2535.4,72113811,1654.02
2013-01-17,2529.8,2567.3,2523.35,2560.2,93419503,2671.02
2013-01-18,2570.5,2609.05,2570.5,2595.15,127848395,3548.23
2013-01-21,2605.05,2618.05,2594.25,2606.25,90325187,2657.61
2013-01-22,2608.6,2623.95,2584,2593.15,79708772,1960.32
2013-01-23,2600.3,2606.45,2562.8,2581.8,79280133,1636.51
2013-01-24,2588.95,2601.65,2540,2544.25,89933345,1912.08
2013-01-25,2541.2,2565.85,2527.25,2562.75,82831711,1630.13
2013-01-28,2568.95,2571.75,2543.95,2550.3,69023579,1675.6
2013-01-29,2545.05,2563.85,2529.4,2532.7,83828590,1753.56
2013-01-30,2538.45,2553.4,2536.9,2542.15,85961340,1667.74
2013-01-31,2537.9,2548,2528.85,2543.55,171702725,2333.71
2013-02-01,2548.15,2561.3,2520.05,2531.05,78271164,1621.27
2013-02-04,2542.15,2552.45,2504.8,2507.2,68215010,1518.31
2013-02-05,2492.05,2507.15,2490.05,2504.2,75136935,1372.48
2013-02-06,2512.65,2527.8,2505.1,2508.9,79630142,1533.04
2013-02-07,2500.5,2511.2,2474.6,2481.55,97394163,1701.24
2013-02-08,2474.4,2480.3,2435.05,2443.55,150884393,2418.1
2013-02-11,2449.35,2450.85,2426.8,2440.3,71191610,1335.41
2013-02-12,2443.75,2450.5,2429.4,2447.8,77354327,1526.14
2013-02-13,2453.75,2464,2430.6,2434.45,71233544,1621.79
2013-02-14,2434.85,2448.85,2418.7,2424.9,76590356,1682.73
2013-02-15,2415.95,2423.3,2394.65,2414.9,80290996,1652.55
2013-02-18,2418.95,2426.7,2412.75,2418.05,64055344,1232.77
2013-02-19,2420.5,2447.5,2408.5,2440.7,69949614,1283.94
2013-02-20,2454.35,2457.05,2444.75,2448.35,101287037,1807.33
2013-02-21,2437.35,2437.35,2398.85,2403.7,83747114,1957.86
2013-02-22,2399.45,2415.85,2397.05,2405.05,71021024,1462.74
2013-02-25,2409.4,2411.75,2376.35,2386.2,63493349,1245.73
2013-02-26,2377.35,2377.35,2340.6,2343.8,79680335,1584.11
2013-02-27,2355.8,2369.6,2328.65,2361.4,95237975,1943.86
2013-02-28,2373.75,2386.4,2287.1,2297.3,196561097,3694.45
2013-03-01,2293.25,2324.9,2288.75,2311.8,101098476,1674.74
2013-03-04,2305.75,2305.75,2263.85,2267.65,325289500,2044.98
2013-03-05,2273,2317.45,2271.8,2314.35,206013032,1834.78
2013-03-06,2324.25,2342.85,2319.2,2332.8,129305151,1643.81
2013-03-07,2327.4,2331.4,2305.2,2324.7,70181468,1272.43
2013-03-08,2331.45,2369,2331.45,2362,93674376,1713.89
2013-03-11,2363.05,2369.25,2353.7,2359.8,79992544,1333.23
2013-03-12,2364.35,2372.25,2336.3,2347.15,83130021,1432.65
2013-03-13,2337.1,2342.7,2318.1,2320.75,69900306,1238.47
2013-03-14,2318.85,2342.1,2301.2,2339.5,71418994,1375.21
2013-03-15,2347.8,2362.1,2321.4,2324,84245001,1476.32
2013-03-18,2301.65,2303.75,2287.85,2292.3,56936356,1035.51
2013-03-19,2294.9,2298.6,2236.2,2243.8,93181292,1698.63
2013-03-20,2240.7,2241.2,2201.45,2205.55,101840459,1744.49
2013-03-21,2205.35,2222.3,2167.55,2171.8,90303801,1676.52
2013-03-22,2167.5,2192.3,2163.25,2175.05,92283830,1538.16
2013-03-25,2201.2,2215.6,2172.85,2177.05,88522353,1691.18
2013-03-26,2168,2178.55,2153.45,2159.35,85994380,1474.35
2013-03-28,2154.75,2187.35,2148.05,2182.75,141933262,2800.68
2013-04-01,2190.2,2200.3,2177,2189.7,53944199,1075.32
2013-04-02,2185.95,2223.15,2185.95,2220.75,64713631,1306.25
2013-04-03,2219.7,2235.35,2184.45,2194.55,119257791,1645.04
2013-04-04,2183.85,2192.05,2154.15,2158.5,87331677,1493.37
2013-04-05,2154.6,2170.75,2148.4,2164.1,109531686,1501.71
2013-04-08,2164.3,2177.45,2164.1,2169.3,60817601,1051.46
2013-04-09,2182.45,2199.75,2154.7,2157.8,92257037,1580.07
2013-04-10,2169.2,2171.3,2134.15,2166.2,69450401,1377.74
2013-04-11,2177.45,2179.8,2141.6,2151.65,60543600,1268.78
2013-04-12,2144,2172.65,2140.95,2169.05,59590895,1098.73
2013-04-15,2161.55,2195.45,2160.7,2182.75,63841510,1493.23
2013-04-16,2180.9,2225.7,2180.9,2223.25,82146294,1765.43
2013-04-17,2230.25,2240.7,2215.4,2222.4,87715387,2078.19
2013-04-18,2224.5,2244.95,2214.85,2241,74245341,1613.99
2013-04-22,2246.1,2265.85,2243.45,2261.35,72670958,1601.16
2013-04-23,2265.65,2271.2,2244.75,2259.55,76943815,1623.2
2013-04-25,2266.1,2300.2,2266.05,2296.75,118349656,2520.91
2013-04-26,2294.3,2304.9,2267.1,2268.95,73518696,1696.18
2013-04-29,2273.55,2282.5,2266.55,2274.2,62908388,1493.83
2013-04-30,2280.35,2284.45,2240.5,2275.15,77452513,1752.14
2013-05-02,2273.2,2300.7,2273.2,2289.65,80301801,1873.19
2013-05-03,2289,2312.5,2282.05,2286.2,85635006,1768.94
2013-05-06,2289.75,2309.85,2289.75,2303.3,74258627,1431.16
2013-05-07,2312.7,2318.05,2303.35,2312.45,85310404,1779.69
2013-05-08,2320.35,2323.5,2300.7,2309.45,64516595,1513.21
2013-05-09,2309.4,2315.4,2298.35,2301.75,74175488,1361.17
2013-05-10,2303.55,2314.05,2299.35,2304.5,63430519,1375.14
2013-05-11,2308.4,2311.55,2306.6,2310.5,5426946,104.83
2013-05-13,2309.3,2312,2260.95,2265.75,66954518,1226
2013-05-14,2267.25,2283.8,2260.6,2273.4,65209415,1411.82
2013-05-15,2278.85,2313.4,2278.85,2310.2,78372652,1682.97
2013-05-16,2306.45,2339.25,2306.45,2329.1,78335067,1827.79
2013-05-17,2333.6,2347.65,2326.6,2341.35,72354334,1485.11
2013-05-20,2348.7,2360.55,2327.35,2331.15,66504285,1382.88
2013-05-21,2333.35,2336.6,2292.95,2297,91508008,1570.74
2013-05-22,2301.65,2309.85,2276.75,2283.7,78787150,1584.38
2013-05-23,2269.2,2276.9,2225.75,2230.15,101656271,2074.98
2013-05-24,2250.1,2255.2,2227.45,2250.85,77492448,1722.42
2013-05-27,2258.7,2294.3,2253.75,2287.85,52846496,1410.52
2013-05-28,2293.95,2308.55,2285.5,2302.85,69616860,1765.57
2013-05-29,2305,2306.1,2276.7,2286.75,62173298,1557.68
2013-05-30,2273.05,2282.25,2268.55,2279.05,100858967,2001.54
2013-05-31,2276.5,2280.55,2225,2229.15,88591916,2140.69
2013-06-03,2229.9,2229.9,2197.75,2210.4,56820431,1268.25
2013-06-04,2216.8,2231.85,2203.85,2211.2,53760203,1241.19
2013-06-05,2207.6,2223.9,2201.85,2222.05,50184560,1049.28
2013-06-06,2209.05,2227.05,2196.2,2217.1,55263309,1227.01
2013-06-07,2212.35,2228.6,2190.2,2194.65,49934656,1030.2
2013-06-10,2202.5,2211.85,2183.95,2190.9,78238414,1194.73
2013-06-11,2178.3,2183.7,2122.9,2137.25,125488793,2211.36
2013-06-12,2127.9,2141.75,2112.45,2121.7,77477751,1545.9
2013-06-13,2100.6,2111.05,2096.45,2099.8,87433256,1451.45
2013-06-14,2117.95,2154.65,2117.15,2146.8,84484877,1500.64
2013-06-17,2152.15,2157.95,2124.5,2155.1,66994642,1086.96
2013-06-18,2150.25,2166.75,2137.2,2149.2,74976307,1378.19
2013-06-19,2147.2,2161.1,2137.1,2158.25,78438186,1711.26
2013-06-20,2132.55,2132.6,2086.7,2090.5,94038699,1825.91
2013-06-21,2081.25,2106.55,2066.1,2085.35,105339406,1982.64
2013-06-24,2078.85,2079.25,2043.2,2051.7,89283450,1637.43
2013-06-25,2058.65,2078.8,2047.85,2053.35,85231581,1569.68
2013-06-26,2065.35,2068.5,2042.45,2046,74865653,1450.72
2013-06-27,2070.95,2079.8,2061.8,2075.95,115496893,2040.19
2013-06-28,2115.7,2145.75,2111.2,2141.45,118131236,3124.78
2013-07-01,2146.1,2185.35,2145.4,2181.8,74866667,1617.34
2013-07-02,2174.05,2185.9,2157.05,2159.5,76376905,1595.69
2013-07-03,2139.15,2141.15,2108.7,2111.35,68864696,1319.69
2013-07-04,2122.6,2132.7,2103.95,2122.75,72335431,1422.79
2013-07-05,2141.3,2148.15,2125.4,2135,56686852,1060.42
2013-07-08,2120.05,2120.4,2097.05,2110.65,82108874,1495.91
2013-07-09,2125.95,2132.25,2111.1,2123.75,86240170,1372.11
2013-07-10,2126.1,2129.4,2094.5,2101.7,85714971,1580.42
2013-07-11,2128.6,2156.65,2128.6,2141.75,75272106,1413.32
2013-07-12,2149.05,2151.9,2125,2142.85,77898377,1381.02
2013-07-15,2132.4,2147.55,2128.25,2142.6,69784286,1203.69
2013-07-16,2116.95,2143.25,2114.75,2138.85,69750769,1236.92
2013-07-17,2141.2,2153.1,2124.25,2135.6,92118564,1801.68
2013-07-18,2138.45,2164,2138.45,2160.85,71835535,1360.21
2013-07-19,2165.05,2166.25,2147.25,2159.2,73013121,1459.83
2013-07-22,2152.45,2157.25,2135.2,2138.15,54768026,1195.51
2013-07-23,2150.8,2159.65,2144.05,2148.35,65867077,1318.49
2013-07-24,2133.55,2151.55,2106.4,2120.15,60963395,1241.18
2013-07-25,2103.5,2108.3,2074.45,2076.8,111296151,2165.73
2013-07-26,2085.1,2095.6,2051.7,2059.6,67640175,1191.29
2013-07-29,2057.8,2061.95,2030.5,2033.95,60330006,1103.57
2013-07-30,2033.8,2034,1973.35,1977.75,78234141,1372.88
2013-07-31,1966.65,1991.8,1930.05,1988.15,93780021,1757.89
2013-08-01,1999.4,2017.8,1944.55,1948.9,83205070,1499.52
2013-08-02,1958.75,1965.05,1898.35,1913.6,92051837,1482.56
2013-08-05,1914.25,1934.75,1906.9,1932,75362512,1384.2
2013-08-06,1919.35,1920.5,1852.9,1868.5,100588943,1637.19
2013-08-07,1868.7,1919.9,1848.7,1904.5,102647399,1802.78
2013-08-08,1899.5,1934.5,1899.5,1931,76602529,1439.12
2013-08-12,1945.8,1976.1,1923.45,1967.6,84342907,1448.1
2013-08-13,1954.25,1978.65,1947.05,1974.8,96510128,1654.32
2013-08-14,1993.15,2023.95,1984.05,2020.85,106996267,1943.33
2013-08-16,2009.65,2013.15,1923.2,1928.85,94123198,1927.55
2013-08-19,1921.8,1937.25,1890.15,1921.05,92887973,1720.85
2013-08-20,1902.85,1942.7,1884.95,1937.9,109001038,1958.6
2013-08-21,1954.1,1959.7,1870.3,1877.5,97833850,1891.19
2013-08-22,1867.25,1957.05,1865.2,1952.85,126308250,2558.05
2013-08-23,1962.95,1969.25,1934.85,1966.45,108628308,2138.54
2013-08-26,1978.9,2001,1968.75,1980.25,105540491,1924.45
2013-08-27,1965.75,1971.4,1906.3,1909.75,102519242,1858.32
2013-08-28,1887.9,1920.2,1841.8,1908.2,130421630,2677.95
2013-08-29,1922.45,1949.9,1898.8,1943.6,183087284,3420.37
2013-08-30,1941.2,1947.15,1899.7,1935.55,115908740,2440.91
2013-09-02,1941.9,1969.7,1935.75,1964.8,92564058,1692.3
2013-09-03,1975.45,1978.85,1906.85,1913.3,112993378,2107.38
2013-09-04,1916.05,1957.5,1896.1,1952.55,89907124,1761.16
2013-09-05,1982.8,1998.4,1973.9,1989.45,107066159,1982.07
2013-09-06,1993.8,2025.8,1964.25,2018.75,126477659,2343.64
2013-09-10,2039.5,2080.6,2034.9,2075.7,116741675,2274.9
2013-09-11,2076.4,2111.9,2067.7,2107.45,123283371,2260.7
2013-09-12,2120.1,2127.7,2066.6,2073.65,109912076,2038.02
2013-09-13,2066,2102.25,2065,2090.9,92585439,1600.4
2013-09-16,2124.6,2131.55,2061.6,2075.85,98095969,1572.52
2013-09-17,2074.05,2083.6,2063.7,2081.5,76069109,1535.33
2013-09-18,2086.4,2104.3,2078.05,2098.6,70651930,1358.52
2013-09-19,2141.25,2189.05,2133.8,2176.3,116055588,2501.91
2013-09-20,2173.1,2180.2,2127.4,2171.55,122797954,2530.7
2013-09-23,2152.75,2180.35,2134.05,2141.25,94494509,1812.09
2013-09-24,2133,2158,2131.25,2134.9,80180853,1657.91
2013-09-25,2135.25,2145.2,2112.05,2141.95,94057221,1929.5
2013-09-26,2141.2,2160.95,2132.45,2139.35,115255915,2331.78
2013-09-27,2146.8,2156.75,2119.15,2126.9,73156092,1668.91
2013-09-30,2113.35,2113.35,2082.2,2091.85,75970712,1739.78
2013-10-01,2097.25,2097.45,2063.6,2076.5,69735558,1438.23
2013-10-03,2087.5,2146.9,2087.5,2142.85,80433777,1666.32
2013-10-04,2133.5,2166.85,2130.2,2148.4,82432987,1736.55
2013-10-07,2142.05,2160.4,2125.2,2158.15,77534704,1712.82
2013-10-08,2165.3,2173.85,2153.8,2161,68557487,1575.88
2013-10-09,2151.65,2185.1,2147.7,2180.2,73287953,1611.19
2013-10-10,2178.85,2199.05,2178.85,2189.55,64716894,1403.58
2013-10-11,2207.95,2208.05,2163.1,2170,64408769,1350.05
2013-10-14,2165.3,2176.2,2158.2,2171.35,68873164,1538.61
2013-10-15,2181.3,2191.85,2149,2170.45,86896358,1915.02
2013-10-17,2168.5,2197.05,2168.5,2174.8,67063142,1603.89
2013-10-18,2180.7,2225,2180.7,2219.05,91070305,2291.44
2013-10-21,2215,2243.2,2215,2240.75,82831621,2060.15
2013-10-22,2235.95,2253,2233.4,2247.25,89141357,1732.65
2013-10-23,2247.9,2256.25,2199.6,2226.15,86714608,1823.54
2013-10-24,2220.9,2249.9,2210.65,2215.25,79293681,1630.42
2013-10-25,2206.6,2211.4,2188.75,2198.95,69533318,1494.2
2013-10-28,2205.15,2210.3,2176.05,2177.95,60185415,1450.73
2013-10-29,2177.45,2225.45,2177.45,2222.3,64712641,1620.98
