Date,Open,High,Low,Close,Shares Traded,Tur11er (Rs. Cr)
2018-01-01,-0,-0,-0,     6116.29,     1175715447,        16570.96
2018-01-02,-0,-0,-0,     6090.34,     1155742768,        19117.48
2018-01-03,-0,-0,-0,     6110.15,      952208996,        19952.29
2018-01-04,-0,-0,-0,     6151.30,     1226930955,        21680.60
2018-01-05,-0,-0,-0,     6201.96,     1261513067,        24203.78
2018-01-08,-0,-0,-0,     6248.45,946184946,        21977.26
2018-01-09,-0,-0,-0,     6245.30,      939470540,        21519.50
2018-01-10,-0,-0,-0,     6231.16,      942548909,        21268.93
2018-01-11,-0,-0,-0,     6247.36,      795064065,        20067.82
2018-01-12,-0,-0,-0,     6249.51,      893904077,        22383.68
2018-01-15,-0,-0,-0,     6264.11,      793228553,        20406.55
2018-01-16,-0,-0,-0,     6192.73,     1060991365,        23975.26
2018-01-17,-0,-0,-0,     6239.88,     1144783490,        26163.62
2018-01-18,-0,-0,-0,6188.64,1182086072,        30267.35
2018-01-19,-0,-0,-0,     6243.61,      844481976,        22932.54
2018-01-22,-0,-0,-0,     6284.34,718708372,        25574.04
2018-01-23,-0,-0,-0,     6337.99,     1090742372,        31094.59
2018-01-24,-0,-0,-0,     6313.03,      958603471,        31290.36
2018-01-25,-0,-0,-0,     6277.10,     1249261214,        36379.55
2018-01-29,-0,-0,-0,     6266.63,      800522202,27018.73
2018-01-30,-0,-0,-0,6218.42,      984471736,        24720.59
2018-01-31,-0,-0,-0,     6171.73,      911447315,        28159.50
2018-02-01,-0,-0,-0,     6157.72,      995787137,30314.18
2018-02-02,-0,-0,-0,     5956.42,     1293414131,        35559.49
2018-02-05,-0,-0,-0,     5916.61,      982666332,        27653.48
2018-02-06,-0,-0,-0,     5816.90,     1013977372,        29327.01
2018-02-07,-0,-0,-0,     5830.82,      856695151,        24894.65
2018-02-08,-0,-0,-0,     5914.72,      824787734,        23833.63
2018-02-09,-0,-0,-0,     5885.95,      782126441,        21037.22
2018-02-12,-0,-0,-0,     5955.89,      833281546,        21611.36
2018-02-14,-0,-0,-0,     5953.07,      947800547,        24316.34
2018-02-15,-0,-0,-0,     5937.66,      909989059,        22994.50
2018-02-16,-0,-0,-0,     5884.82,      834814949,        21356.79
2018-02-19,-0,-0,-0,     5833.49,      876711616,        21309.43
2018-02-20,-0,-0,-0,     5825.45,      792945212,        19931.63
2018-02-21,-0,-0,-0,     5835.25,      734971584,        22387.25
2018-02-22,-0,-0,-0,     5812.67,     1009953271,        30084.10
2018-02-23,-0,-0,-0,     5892.42,      780550738,        24441.41
2018-02-26,-0,-0,-0,     5940.54,      810953363,        20943.07
2018-02-27,-0,-0,-0,     5919.84,      879844644,        21300.14
2018-02-28,-0,-0,-0,     5904.50,     1109807540,        28825.74
2018-03-01,-0,-0,-0,     5879.19,      788057205,        20211.77
2018-03-05,-0,-0,-0,     5825.40,      864147715,        21653.65
2018-03-06,-0,-0,-0,     5767.52,890824184,        23084.58
2018-03-07,-0,-0,-0,     5696.65,     1011417609,        23342.76
2018-03-08,-0,-0,-0,     5738.58,967191819,        22435.79
2018-03-09,-0,-0,-0,     5728.70,821577918,        19540.76
2018-03-12,-0,-0,-0,     5802.57,      863961128,        20740.89
2018-03-13,-0,-0,-0,     5834.27,     1083914424,        36667.60
2018-03-14,-0,-0,-0,     5835.47,      912312110,        20472.29
2018-03-15,-0,-0,-0,     5833.92,      817745230,19182.17
2018-03-16,-0,-0,-0,     5758.65,     1123509796,        31768.36
2018-03-19,-0,-0,-0,     5682.24,      834320333,        20796.48
2018-03-20,-0,-0,-0,     5699.64,      785480866,        20867.07
2018-03-21,-0,-0,-0,     5716.88,      802092440,        20966.45
2018-03-22,-0,-0,-0,     5685.51,      797407199,        20966.64
2018-03-23,-0,-0,-0,     5616.28,      940913654,        24948.70
2018-03-26,-0,-0,-0,     5690.04,      907945426,        23108.59
2018-03-27,-0,-0,-0,     5739.36,      833315146,        21992.38
2018-03-28,-0,-0,-0,     5705.90,     1136830842,        32535.89
2018-04-02,-0,-0,-0,     5782.28,-0,-0
2018-04-03,-0,-0,-0,5818.12,      696550822,        19760.08
2018-04-04,-0,-0,-0,     5757.36,      822737811,        22587.59
2018-04-05,-0,-0,-0,     5862.91,      728359672,        21650.14
2018-04-06,-0,-0,-0,     5881.60,      783291790,        20506.29
2018-04-09,-0,-0,-0,     5901.38,      697433849,        20047.90
2018-04-10,-0,-0,-0,     5911.27,      732019005,        21029.33
2018-04-11,-0,-0,-0,5918.43,      721587292,        22112.62
2018-04-12,-0,-0,-0,5918.95,      751497046,        21476.25
2018-04-13,-0,-0,-0,     5937.54,      679261227,        22050.24
2018-04-16,-0,-0,-0,     5969.12,      632484567,        20890.08
2018-04-17,-0,-0,-0,     5982.78,      626979026,        20235.30
2018-04-18,-0,-0,-0,     5972.49,      707997298,20183.48
2018-04-19,-0,-0,-0,     6002.52,      740862545,        22415.93
2018-04-20,-0,-0,-0,     5991.87,      730410223,        25847.83
2018-04-23,-0,-0,-0,     6012.20,      606777700,        23808.55
2018-04-24,-0,-0,-0,6018.77,      695952270,        23137.89
2018-04-25,-0,-0,-0,     5997.12,      684545224,        23136.50
2018-04-26,-0,-0,-0,6018.32,     1004810030,        33453.31
2018-04-27,-0,-0,-0,     6058.52,      772544103,        27311.86
2018-04-30,-0,-0,-0,     6098.13,      664713532,        21467.96
2018-05-02,-0,-0,-0,     6049.06,      790082821,        27086.89
2018-05-03,-0,-0,-0,     6006.32,      801065858,        24355.34
2018-05-04,-0,-0,-0,     5978.84,      757976047,        21681.29
2018-05-07,-0,-0,-0,     6026.86,      691085277,21844.12
2018-05-08,-0,-0,-0,     6025.78,      877775192,        27677.05
2018-05-09,-0,-0,-0,     6012.73,      666405250,        21616.53
2018-05-10,-0,-0,-0,     5960.86,      781730529,21838.26
2018-05-11,-0,-0,-0,     5992.91,      762030439,21868.36
2018-05-14,-0,-0,-0,     5962.12,      707877558,        21012.46
2018-05-15,-0,-0,-0,     5935.87,      841417777,        24963.71
2018-05-16,-0,-0,-0,     5916.78,      815062933,        22303.05
2018-05-17,-0,-0,-0,     5912.67,      712510949,        22175.98
2018-05-18,-0,-0,-0,     5849.87,      690498049,        24256.27
2018-05-21,-0,-0,-0,     5777.23,      655112844,        21732.59
