Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,2916.15,2967.15,2916.15,2959.35,2959.35,21499848
2013-01-02,2979.95,3002.1,2970.15,2973.9,2973.9,28859899
2013-01-03,2983.7,2999.65,2969.3,2983.75,2983.75,19289748
2013-01-04,2975.45,2975.9,2938.1,2955.8,2955.8,19435986
2013-01-07,2965,3013.9,2936.8,2986.05,2986.05,34276632
2013-01-08,2983.4,2983.4,2931.4,2955.4,2955.4,20243360
2013-01-09,2962.6,2971.25,2914.55,2919.55,2919.55,30346236
2013-01-10,2935.25,2952.6,2898.15,2907.05,2907.05,27936083
2013-01-11,2907.5,2928.65,2852.2,2859.85,2859.85,19322937
2013-01-14,2861.15,2907.9,2835.35,2901,2901,19225375
2013-01-15,2898.15,2913.55,2881.15,2894.5,2894.5,17390098
2013-01-16,2883.8,2892.3,2820.75,2827.6,2827.6,18326216
2013-01-17,2814.95,2850.1,2797.75,2837.7,2837.7,26445953
2013-01-18,2843.7,2868.25,2815.8,2825.1,2825.1,19103748
2013-01-21,2820.85,2847.5,2812.7,2818.3,2818.3,13499171
2013-01-22,2815.15,2843.9,2783.55,2793.75,2793.75,17515016
2013-01-23,2804.65,2813.45,2759.45,2780.8,2780.8,19813614
2013-01-24,2777.3,2786.1,2724.95,2730.85,2730.85,21004614
2013-01-25,2726.95,2772.95,2703.5,2766.9,2766.9,20051161
2013-01-28,2771.55,2786.45,2752.05,2773.1,2773.1,18257468
2013-01-29,2766.15,2803.3,2749,2759.05,2759.05,20302375
2013-01-30,2762.75,2791.45,2762.4,2766,2766,21007123
2013-01-31,2757.65,2777.95,2746.65,2773.25,2773.25,35612436
2013-02-01,2776.05,2798.1,2746.9,2754.35,2754.35,20463785
2013-02-04,2762.75,2772.7,2726.5,2730.9,2730.9,16268118
2013-02-05,2712.8,2725.5,2699.25,2713.1,2713.1,16135364
2013-02-06,2727.65,2753.15,2714.7,2718.3,2718.3,22748265
2013-02-07,2713.55,2723.45,2679.75,2691.2,2691.2,15054661
2013-02-08,2692.7,2700.65,2643.8,2654.05,2654.05,27501018
2013-02-11,2665.95,2665.95,2634.2,2647.2,2647.2,21577448
2013-02-12,2648.05,2657.65,2620.25,2642.55,2642.55,23013186
2013-02-13,2644.2,2659.25,2607.9,2612.65,2612.65,20006749
2013-02-14,2610.35,2633.4,2600.4,2612.75,2612.75,22003532
2013-02-15,2603.2,2610.95,2581.75,2603.45,2603.45,16873352
2013-02-18,2602.3,2617.6,2592.1,2610.55,2610.55,17968882
2013-02-19,2608.6,2617.8,2580.4,2614.75,2614.75,16826749
2013-02-20,2625.2,2630.25,2594.6,2599.1,2599.1,34248695
2013-02-21,2580.45,2581.1,2516.7,2520.7,2520.7,28262733
2013-02-22,2515.1,2532.05,2497.3,2508.65,2508.65,24872281
2013-02-25,2515.05,2524.45,2465.9,2476.55,2476.55,39968296
2013-02-26,2472.3,2472.3,2405.3,2410.55,2410.55,32808821
2013-02-27,2426.85,2438.05,2394.4,2431.8,2431.8,37893463
2013-02-28,2447.05,2457.2,2338.45,2360.35,2360.35,50958919
2013-03-01,2362.35,2404.35,2362.35,2378.75,2378.75,21612103
2013-03-04,2373.5,2373.5,2314.85,2320.25,2320.25,27495537
2013-03-05,2324.9,2380.8,2324.9,2376.1,2376.1,24871540
2013-03-06,2389.35,2429.2,2381.1,2413.5,2413.5,26465180
2013-03-07,2408.2,2408.2,2365.7,2389.7,2389.7,20777217
2013-03-08,2398.45,2453.55,2398.45,2445.35,2445.35,30152552
2013-03-11,2442.95,2449.1,2426.25,2432.05,2432.05,24260300
2013-03-12,2438,2447.6,2394.6,2415.5,2415.5,22566391
2013-03-13,2403.05,2413.5,2376.75,2381,2381,31404017
2013-03-14,2378.75,2399.8,2353.7,2396.95,2396.95,27582481
2013-03-15,2408.55,2427.6,2371.4,2378.4,2378.4,37984846
2013-03-18,2344.5,2344.5,2318.5,2328.2,2328.2,22328529
2013-03-19,2330.2,2334.8,2256.45,2268.25,2268.25,32796323
2013-03-20,2261.65,2278.4,2227.1,2237.7,2237.7,28795216
2013-03-21,2241.95,2274.45,2210.15,2214.7,2214.7,26902017
2013-03-22,2210.35,2236.05,2198.6,2218.4,2218.4,26259016
2013-03-25,2247.35,2254.2,2188.6,2193.4,2193.4,29144031
2013-03-26,2184.35,2202.3,2170,2180.9,2180.9,23772691
2013-03-28,2175.35,2242.25,2168.95,2232.1,2232.1,52866929
2013-04-01,2242.05,2242.9,2205.4,2219.7,2219.7,22977833
2013-04-02,2217.4,2267.75,2215.75,2264.8,2264.8,32747234
2013-04-03,2257.2,2278.1,2208.55,2218.45,2218.45,46318287
2013-04-04,2207.55,2220.9,2177.95,2183.3,2183.3,30591464
2013-04-05,2176.5,2200.8,2172.55,2187.55,2187.55,30589431
2013-04-08,2191.5,2200.15,2169.85,2173.8,2173.8,22190295
2013-04-09,2188.75,2212.15,2159.1,2162.7,2162.7,29170025
2013-04-10,2177.15,2184,2135.95,2170.1,2170.1,30179692
2013-04-11,2187.9,2191.6,2143.55,2150.3,2150.3,25262373
2013-04-12,2139.5,2168.15,2135.35,2150.95,2150.95,31466831
2013-04-15,2140.55,2143.05,2123.8,2129.5,2129.5,25921866
2013-04-16,2117.35,2160.3,2114.95,2157.45,2157.45,32848253
2013-04-17,2165.2,2195.5,2158.95,2175.7,2175.7,40053922
2013-04-18,2181.45,2186.05,2149,2179,2179,40869517
2013-04-22,2186.95,2236.35,2186.95,2227.6,2227.6,32411035
