Date,Open,High,Low,Close,Shares Traded,Tur11er (Rs. Cr)
2013-01-01,-0,-0,-0,2079.74,-0,-0
2013-01-02,-0,-0,-0,2094.6,-0,-0
2013-01-03,-0,-0,-0,2110.88,-0,-0
2013-01-04,-0,-0,-0,2131.44,-0,-0
2013-01-07,-0,-0,-0,2144.57,-0,-0
2013-01-08,-0,-0,-0,2139.58,-0,-0
2013-01-09,-0,-0,-0,2129.18,-0,-0
2013-01-10,-0,-0,-0,2115.9,-0,-0
2013-01-11,-0,-0,-0,2083.87,-0,-0
2013-01-14,-0,-0,-0,2118.12,-0,-0
2013-01-15,-0,-0,-0,2121.01,-0,-0
2013-01-16,-0,-0,-0,2080.22,-0,-0
2013-01-17,-0,-0,-0,2088.84,-0,-0
2013-01-18,-0,-0,-0,2091.27,-0,-0
2013-01-21,-0,-0,-0,2092.51,-0,-0
2013-01-22,-0,-0,-0,2060.76,-0,-0
2013-01-23,-0,-0,-0,2035.94,-0,-0
2013-01-24,-0,-0,-0,1965.49,-0,-0
2013-01-25,-0,-0,-0,1998.66,-0,-0
2013-01-28,-0,-0,-0,2011.12,-0,-0
2013-01-29,-0,-0,-0,1991.26,-0,-0
2013-01-30,-0,-0,-0,1993.44,-0,-0
2013-01-31,-0,-0,-0,1995.36,-0,-0
2013-02-01,-0,-0,-0,1999.04,-0,-0
2013-02-04,-0,-0,-0,1961.34,-0,-0
2013-02-05,-0,-0,-0,1949.43,-0,-0
2013-02-06,-0,-0,-0,1955.04,-0,-0
2013-02-07,-0,-0,-0,1932.74,-0,-0
2013-02-08,-0,-0,-0,1910.48,-0,-0
2013-02-11,-0,-0,-0,1913.05,-0,-0
2013-02-12,-0,-0,-0,1900.29,-0,-0
2013-02-13,-0,-0,-0,1882.82,-0,-0
2013-02-14,-0,-0,-0,1850.98,-0,-0
2013-02-15,-0,-0,-0,1860.73,-0,-0
2013-02-18,-0,-0,-0,1877.14,-0,-0
2013-02-19,-0,-0,-0,1897.94,-0,-0
2013-02-20,-0,-0,-0,1898.03,-0,-0
2013-02-21,-0,-0,-0,1860.86,-0,-0
2013-02-22,-0,-0,-0,1864.25,-0,-0
2013-02-25,-0,-0,-0,1832.38,-0,-0
2013-02-26,-0,-0,-0,1791.89,-0,-0
2013-02-27,-0,-0,-0,1804.79,-0,-0
2013-02-28,-0,-0,-0,1741.84,-0,-0
2013-03-01,-0,-0,-0,1740.76,-0,-0
2013-03-04,-0,-0,-0,1699.08,-0,-0
2013-03-05,-0,-0,-0,1744,-0,-0
2013-03-06,-0,-0,-0,1776.09,-0,-0
2013-03-07,-0,-0,-0,1781.53,-0,-0
2013-03-08,-0,-0,-0,1800.95,-0,-0
2013-03-11,-0,-0,-0,1809.82,-0,-0
2013-03-12,-0,-0,-0,1801.79,-0,-0
2013-03-13,-0,-0,-0,1770.64,-0,-0
2013-03-14,-0,-0,-0,1776.97,-0,-0
2013-03-15,-0,-0,-0,1759.6,-0,-0
2013-03-18,-0,-0,-0,1747.28,-0,-0
2013-03-19,-0,-0,-0,1711.78,-0,-0
2013-03-20,-0,-0,-0,1670.73,-0,-0
2013-03-21,-0,-0,-0,1643.26,-0,-0
2013-03-22,-0,-0,-0,1640.75,-0,-0
2013-03-25,-0,-0,-0,1631.57,-0,-0
2013-03-26,-0,-0,-0,1633.43,-0,-0
2013-03-28,-0,-0,-0,1668.9,-0,-0
2013-04-01,-0,-0,-0,1701.88,-0,-0
2013-04-02,-0,-0,-0,1742.86,-0,-0
2013-04-03,-0,-0,-0,1723.05,-0,-0
2013-04-04,-0,-0,-0,1678.41,-0,-0
2013-04-05,-0,-0,-0,1682.33,-0,-0
2013-04-08,-0,-0,-0,1680.88,-0,-0
2013-04-09,-0,-0,-0,1655.02,-0,-0
2013-04-10,-0,-0,-0,1672.72,-0,-0
2013-04-11,-0,-0,-0,1674.93,-0,-0
2013-04-12,-0,-0,-0,1672.63,-0,-0
2013-04-15,-0,-0,-0,1687.25,-0,-0
2013-04-16,-0,-0,-0,1710.4,-0,-0
2013-04-17,-0,-0,-0,1711.26,-0,-0
2013-04-18,-0,-0,-0,1727.02,-0,-0
2013-04-22,-0,-0,-0,1745.34,-0,-0
2013-04-23,-0,-0,-0,1739.4,-0,-0
2013-04-25,-0,-0,-0,1743.71,-0,-0
2013-04-26,-0,-0,-0,1724.09,-0,-0
2013-04-29,-0,-0,-0,1738.73,-0,-0
2013-04-30,-0,-0,-0,1751.06,-0,-0
2013-05-02,-0,-0,-0,1765.87,-0,-0
2013-05-03,-0,-0,-0,1760.24,-0,-0
2013-05-06,-0,-0,-0,1794.17,-0,-0
2013-05-07,-0,-0,-0,1808.14,-0,-0
2013-05-08,-0,-0,-0,1830.89,-0,-0
2013-05-09,-0,-0,-0,1807.8,-0,-0
2013-05-10,-0,-0,-0,1803.89,-0,-0
2013-05-11,-0,-0,-0,1806.75,-0,-0
2013-05-13,-0,-0,-0,1771.53,-0,-0
2013-05-14,-0,-0,-0,1770.38,-0,-0
2013-05-15,-0,-0,-0,1811.09,-0,-0
2013-05-16,-0,-0,-0,1815,-0,-0
2013-05-17,-0,-0,-0,1817.86,-0,-0
2013-05-20,-0,-0,-0,1805.74,-0,-0
2013-05-21,-0,-0,-0,1782.28,-0,-0
2013-05-22,-0,-0,-0,1757.07,-0,-0
2013-05-23,-0,-0,-0,1705.66,-0,-0
2013-05-24,-0,-0,-0,1715.83,-0,-0
2013-05-27,-0,-0,-0,1735.85,-0,-0
2013-05-28,-0,-0,-0,1747.93,-0,-0
2013-05-29,-0,-0,-0,1729.52,-0,-0
2013-05-30,-0,-0,-0,1726.66,-0,-0
2013-05-31,-0,-0,-0,1671.57,-0,-0
2013-06-03,-0,-0,-0,1682.14,-0,-0
2013-06-04,-0,-0,-0,1689.19,-0,-0
2013-06-05,-0,-0,-0,1692.75,-0,-0
2013-06-06,-0,-0,-0,1700.05,-0,-0
2013-06-07,-0,-0,-0,1685.74,-0,-0
2013-06-10,-0,-0,-0,1655.66,-0,-0
2013-06-11,-0,-0,-0,1616.32,-0,-0
2013-06-12,-0,-0,-0,1599.15,-0,-0
2013-06-13,-0,-0,-0,1557.35,-0,-0
2013-06-14,-0,-0,-0,1582.56,-0,-0
2013-06-17,-0,-0,-0,1586.72,-0,-0
2013-06-18,-0,-0,-0,1583.34,-0,-0
2013-06-19,-0,-0,-0,1595.6,-0,-0
2013-06-20,-0,-0,-0,1547.97,-0,-0
2013-06-21,-0,-0,-0,1505.98,-0,-0
2013-06-24,-0,-0,-0,1467.76,-0,-0
2013-06-25,-0,-0,-0,1456.15,-0,-0
2013-06-26,-0,-0,-0,1431.5,-0,-0
2013-06-27,-0,-0,-0,1444.4,-0,-0
2013-06-28,-0,-0,-0,1490.57,-0,-0
2013-07-01,-0,-0,-0,1527.03,-0,-0
2013-07-02,-0,-0,-0,1517.13,-0,-0
2013-07-03,-0,-0,-0,1468.46,-0,-0
2013-07-04,-0,-0,-0,1478.39,-0,-0
2013-07-05,-0,-0,-0,1479.21,-0,-0
2013-07-08,-0,-0,-0,1475.1,-0,-0
2013-07-09,-0,-0,-0,1496.47,-0,-0
2013-07-10,-0,-0,-0,1496.56,-0,-0
2013-07-11,-0,-0,-0,1517.33,-0,-0
2013-07-12,-0,-0,-0,1513.19,-0,-0
2013-07-15,-0,-0,-0,1529.05,-0,-0
2013-07-16,-0,-0,-0,1495.13,-0,-0
2013-07-17,-0,-0,-0,1487.35,-0,-0
2013-07-18,-0,-0,-0,1508.93,-0,-0
2013-07-19,-0,-0,-0,1501.94,-0,-0
2013-07-22,-0,-0,-0,1502.5,-0,-0
2013-07-23,-0,-0,-0,1506.99,-0,-0
2013-07-24,-0,-0,-0,1470.42,-0,-0
2013-07-25,-0,-0,-0,1457.87,-0,-0
2013-07-26,-0,-0,-0,1452.22,-0,-0
2013-07-29,-0,-0,-0,1427.79,-0,-0
2013-07-30,-0,-0,-0,1391.03,-0,-0
2013-07-31,-0,-0,-0,1376.87,-0,-0
2013-08-01,-0,-0,-0,1340.14,-0,-0
2013-08-02,-0,-0,-0,1326.35,-0,-0
2013-08-05,-0,-0,-0,1335.6,-0,-0
2013-08-06,-0,-0,-0,1299.73,-0,-0
2013-08-07,-0,-0,-0,1324.82,-0,-0
2013-08-08,-0,-0,-0,1348.26,-0,-0
2013-08-12,-0,-0,-0,1369.42,-0,-0
2013-08-13,-0,-0,-0,1396.1,-0,-0
2013-08-14,-0,-0,-0,1402.03,-0,-0
2013-08-16,-0,-0,-0,1348.5,-0,-0
2013-08-19,-0,-0,-0,1327.85,-0,-0
2013-08-20,-0,-0,-0,1329.54,-0,-0
2013-08-21,-0,-0,-0,1315.56,-0,-0
2013-08-22,-0,-0,-0,1329.08,-0,-0
2013-08-23,-0,-0,-0,1352.41,-0,-0
2013-08-26,-0,-0,-0,1356.99,-0,-0
2013-08-27,-0,-0,-0,1318.14,-0,-0
2013-08-28,-0,-0,-0,1308.25,-0,-0
2013-08-29,-0,-0,-0,1332.65,-0,-0
2013-08-30,-0,-0,-0,1337.34,-0,-0
2013-09-02,-0,-0,-0,1362.37,-0,-0
2013-09-03,-0,-0,-0,1332.02,-0,-0
2013-09-04,-0,-0,-0,1347.66,-0,-0
2013-09-05,-0,-0,-0,1376.82,-0,-0
2013-09-06,-0,-0,-0,1377.39,-0,-0
2013-09-10,-0,-0,-0,1394.19,-0,-0
2013-09-11,-0,-0,-0,1430.19,-0,-0
2013-09-12,-0,-0,-0,1428.74,-0,-0
2013-09-13,-0,-0,-0,1441.01,-0,-0
2013-09-16,-0,-0,-0,1423.83,-0,-0
2013-09-17,-0,-0,-0,1421.09,-0,-0
2013-09-18,-0,-0,-0,1428.07,-0,-0
2013-09-19,-0,-0,-0,1452.72,-0,-0
2013-09-20,-0,-0,-0,1408.67,-0,-0
2013-09-23,-0,-0,-0,1399.98,-0,-0
2013-09-24,-0,-0,-0,1404.49,-0,-0
2013-09-25,-0,-0,-0,1410.14,-0,-0
2013-09-26,-0,-0,-0,1415.05,-0,-0
2013-09-27,-0,-0,-0,1415.49,-0,-0
2013-09-30,-0,-0,-0,1402.64,-0,-0
2013-10-01,-0,-0,-0,1418.56,-0,-0
2013-10-03,-0,-0,-0,1443.26,-0,-0
2013-10-04,-0,-0,-0,1448.35,-0,-0
2013-10-07,-0,-0,-0,1464.68,-0,-0
2013-10-08,-0,-0,-0,1484.95,-0,-0
2013-10-09,-0,-0,-0,1502.8,-0,-0
2013-10-10,-0,-0,-0,1520.53,-0,-0
2013-10-11,-0,-0,-0,1527.9,-0,-0
2013-10-14,-0,-0,-0,1551.35,-0,-0
2013-10-15,-0,-0,-0,1522.49,-0,-0
2013-10-17,-0,-0,-0,1539.56,-0,-0
2013-10-18,-0,-0,-0,1558.64,-0,-0
2013-10-21,-0,-0,-0,1582,-0,-0
2013-10-22,-0,-0,-0,1603.42,-0,-0
2013-10-23,-0,-0,-0,1593.36,-0,-0
2013-10-24,-0,-0,-0,1592.05,-0,-0
2013-10-25,-0,-0,-0,1579.23,-0,-0
2013-10-28,-0,-0,-0,1562.86,-0,-0
2013-10-29,-0,-0,-0,1584.71,-0,-0
2013-10-30,-0,-0,-0,1598.93,-0,-0
2013-10-31,-0,-0,-0,1612.02,-0,-0
2013-11-01,-0,-0,-0,1638.32,-0,-0
2013-11-03,-0,-0,-0,1657.9,-0,-0
2013-11-05,-0,-0,-0,1676.3,-0,-0
2013-11-06,-0,-0,-0,1677.01,-0,-0
2013-11-07,-0,-0,-0,1650.54,-0,-0
2013-11-08,-0,-0,-0,1649.75,-0,-0
2013-11-11,-0,-0,-0,1620.43,-0,-0
2013-11-12,-0,-0,-0,1602.47,-0,-0
2013-11-13,-0,-0,-0,1594.12,-0,-0
2013-11-14,-0,-0,-0,1625.86,-0,-0
2013-11-18,-0,-0,-0,1647.96,-0,-0
2013-11-19,-0,-0,-0,1656.18,-0,-0
2013-11-20,-0,-0,-0,1661.37,-0,-0
2013-11-21,-0,-0,-0,1626.29,-0,-0
2013-11-22,-0,-0,-0,1632.45,-0,-0
2013-11-25,-0,-0,-0,1662.15,-0,-0
2013-11-26,-0,-0,-0,1645.49,-0,-0
2013-11-27,-0,-0,-0,1651.2,-0,-0
2013-11-28,-0,-0,-0,1667.18,-0,-0
2013-11-29,-0,-0,-0,1687.43,-0,-0
2013-12-02,-0,-0,-0,1703.8,-0,-0
2013-12-03,-0,-0,-0,1708.47,-0,-0
2013-12-04,-0,-0,-0,1694.67,-0,-0
2013-12-05,-0,-0,-0,1695.85,-0,-0
2013-12-06,-0,-0,-0,1701.71,-0,-0
2013-12-09,-0,-0,-0,1705.03,-0,-0
2013-12-10,-0,-0,-0,1691.35,-0,-0
2013-12-11,-0,-0,-0,1690.2,-0,-0
2013-12-12,-0,-0,-0,1685.56,-0,-0
2013-12-13,-0,-0,-0,1664.24,-0,-0
2013-12-16,-0,-0,-0,1670.73,-0,-0
2013-12-17,-0,-0,-0,1669.16,-0,-0
2013-12-18,-0,-0,-0,1699.97,-0,-0
2013-12-19,-0,-0,-0,1695.54,-0,-0
2013-12-20,-0,-0,-0,1753.39,-0,-0
2013-12-23,-0,-0,-0,1775.07,-0,-0
2013-12-24,-0,-0,-0,1784.93,-0,-0
2013-12-26,-0,-0,-0,1816.44,-0,-0
2013-12-27,-0,-0,-0,1815.7,-0,-0
2013-12-30,-0,-0,-0,1815.27,-0,-0
2013-12-31,-0,-0,-0,1826.67,-0,-0
2014-01-01,-0,-0,-0,1853.62,-0,-0
2014-01-02,-0,-0,-0,1809.02,-0,-0
2014-01-03,-0,-0,-0,1833.43,-0,-0
2014-01-06,-0,-0,-0,1862.39,-0,-0
2014-01-07,-0,-0,-0,1854.98,-0,-0
2014-01-08,-0,-0,-0,1860.99,-0,-0
2014-01-09,-0,-0,-0,1855.81,-0,-0
2014-01-10,-0,-0,-0,1844.48,-0,-0
2014-01-13,-0,-0,-0,1855.59,-0,-0
2014-01-14,-0,-0,-0,1850.28,-0,-0
2014-01-15,-0,-0,-0,1851.53,-0,-0
2014-01-16,-0,-0,-0,1841.14,-0,-0
2014-01-17,-0,-0,-0,1798.6,-0,-0
2014-01-20,-0,-0,-0,1824.69,-0,-0
2014-01-21,-0,-0,-0,1851.52,-0,-0
2014-01-22,-0,-0,-0,1857.1,-0,-0
2014-01-23,-0,-0,-0,1834.38,-0,-0
2014-01-24,-0,-0,-0,1793.14,-0,-0
2014-01-27,-0,-0,-0,1728.31,-0,-0
2014-01-28,-0,-0,-0,1737.07,-0,-0
2014-01-29,-0,-0,-0,1742.75,-0,-0
2014-01-30,-0,-0,-0,1714.36,-0,-0
2014-01-31,-0,-0,-0,1759.27,-0,-0
2014-02-03,-0,-0,-0,1736.91,-0,-0
2014-02-04,-0,-0,-0,1746.8,-0,-0
2014-02-05,-0,-0,-0,1761.07,-0,-0
2014-02-06,-0,-0,-0,1754.51,-0,-0
2014-02-07,-0,-0,-0,1765.43,-0,-0
2014-02-10,-0,-0,-0,1753.77,-0,-0
2014-02-11,-0,-0,-0,1769.96,-0,-0
2014-02-12,-0,-0,-0,1775.48,-0,-0
2014-02-13,-0,-0,-0,1754.91,-0,-0
2014-02-14,-0,-0,-0,1756.1,-0,-0
2014-02-17,-0,-0,-0,1759.16,-0,-0
2014-02-18,-0,-0,-0,1796.21,-0,-0
2014-02-19,-0,-0,-0,1815.86,-0,-0
2014-02-20,-0,-0,-0,1812.06,-0,-0
2014-02-21,-0,-0,-0,1828.27,-0,-0
2014-02-24,-0,-0,-0,1822.52,-0,-0
2014-02-25,-0,-0,-0,1832.23,-0,-0
2014-02-26,-0,-0,-0,1843.88,-0,-0
2014-02-28,-0,-0,-0,1848.77,-0,-0
2014-03-03,-0,-0,-0,1851.33,-0,-0
2014-03-04,-0,-0,-0,1876.56,-0,-0
2014-03-05,-0,-0,-0,1880.58,-0,-0
2014-03-06,-0,-0,-0,1902.76,-0,-0
2014-03-07,-0,-0,-0,1897.15,-0,-0
2014-03-10,-0,-0,-0,1902.15,-0,-0
2014-03-11,-0,-0,-0,1900.54,-0,-0
2014-03-12,-0,-0,-0,1896.15,-0,-0
2014-03-13,-0,-0,-0,1869.68,-0,-0
2014-03-14,-0,-0,-0,1863.8,-0,-0
2014-03-18,-0,-0,-0,1904.29,-0,-0
2014-03-19,-0,-0,-0,1910.55,-0,-0
2014-03-20,-0,-0,-0,1906.51,-0,-0
2014-03-21,-0,-0,-0,1925.03,-0,-0
2014-03-22,-0,-0,-0,1936.96,-0,-0
2014-03-24,-0,-0,-0,1933.54,-0,-0
2014-03-25,-0,-0,-0,1949.47,-0,-0
2014-03-26,-0,-0,-0,1955.74,-0,-0
2014-03-27,-0,-0,-0,1968.25,-0,-0
2014-03-28,-0,-0,-0,1997.81,-0,-0
2014-03-31,-0,-0,-0,2013.37,-0,-0
2014-04-01,-0,-0,-0,2016.71,-0,-0
2014-04-02,-0,-0,-0,2057.5,-0,-0
2014-04-03,-0,-0,-0,2048.38,-0,-0
2014-04-04,-0,-0,-0,2068.35,-0,-0
2014-04-07,-0,-0,-0,2078.68,-0,-0
2014-04-09,-0,-0,-0,2123.14,-0,-0
2014-04-10,-0,-0,-0,2124.89,-0,-0
2014-04-11,-0,-0,-0,2127.79,-0,-0
2014-04-15,-0,-0,-0,2108.61,-0,-0
2014-04-16,-0,-0,-0,2073.75,-0,-0
2014-04-17,-0,-0,-0,2105.69,-0,-0
2014-04-21,-0,-0,-0,2135,-0,-0
2014-04-22,-0,-0,-0,2142.39,-0,-0
2014-04-23,-0,-0,-0,2146.31,-0,-0
2014-04-25,-0,-0,-0,2139.91,-0,-0
2014-04-28,-0,-0,-0,2146.28,-0,-0
