Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,-0,-0,-0,1000,1000,-0
2004-01-02,-0,-0,-0,1007.13,1007.13,-0
2004-01-05,-0,-0,-0,998.13,998.13,-0
2004-01-06,-0,-0,-0,984.52,984.52,-0
2004-01-07,-0,-0,-0,974.54,974.54,-0
2004-01-08,-0,-0,-0,1002.71,1002.71,-0
2004-01-09,-0,-0,-0,1037.96,1037.96,-0
2004-01-12,-0,-0,-0,1021.31,1021.31,-0
2004-01-13,-0,-0,-0,1039.75,1039.75,-0
2004-01-14,-0,-0,-0,1060.89,1060.89,-0
2004-01-15,-0,-0,-0,1032.25,1032.25,-0
2004-01-16,-0,-0,-0,1007.22,1007.22,-0
2004-01-19,-0,-0,-0,1038.8,1038.8,-0
2004-01-20,-0,-0,-0,1018.06,1018.06,-0
2004-01-21,-0,-0,-0,959.67,959.67,-0
2004-01-22,-0,-0,-0,908.9,908.9,-0
2004-01-23,-0,-0,-0,970.11,970.11,-0
2004-01-27,-0,-0,-0,1011.74,1011.74,-0
2004-01-28,-0,-0,-0,999.54,999.54,-0
2004-01-29,-0,-0,-0,1008.33,1008.33,-0
2004-01-30,-0,-0,-0,995.49,995.49,-0
2004-02-03,-0,-0,-0,968.25,968.25,-0
2004-02-04,-0,-0,-0,1022.39,1022.39,-0
2004-02-05,-0,-0,-0,1006.47,1006.47,-0
2004-02-06,-0,-0,-0,1023.34,1023.34,-0
2004-02-09,-0,-0,-0,1049.44,1049.44,-0
2004-02-10,-0,-0,-0,1041.26,1041.26,-0
2004-02-11,-0,-0,-0,1052.25,1052.25,-0
2004-02-12,-0,-0,-0,1062.66,1062.66,-0
2004-02-13,-0,-0,-0,1075.35,1075.35,-0
2004-02-16,-0,-0,-0,1095.54,1095.54,-0
2004-02-17,-0,-0,-0,1087.87,1087.87,-0
2004-02-18,-0,-0,-0,1096.06,1096.06,-0
2004-02-19,-0,-0,-0,1064.58,1064.58,-0
2004-02-20,-0,-0,-0,1074.63,1074.63,-0
2004-02-23,-0,-0,-0,1035.47,1035.47,-0
2004-02-24,-0,-0,-0,1050.97,1050.97,-0
2004-02-25,-0,-0,-0,1023.67,1023.67,-0
2004-02-26,-0,-0,-0,1016.08,1016.08,-0
2004-02-27,-0,-0,-0,1031.13,1031.13,-0
2004-03-01,-0,-0,-0,1057.61,1057.61,-0
2004-03-03,-0,-0,-0,1088.54,1088.54,-0
2004-03-04,-0,-0,-0,1067.78,1067.78,-0
2004-03-05,-0,-0,-0,1081.35,1081.35,-0
2004-03-08,-0,-0,-0,1081.46,1081.46,-0
2004-03-09,-0,-0,-0,1064.78,1064.78,-0
2004-03-10,-0,-0,-0,1042.94,1042.94,-0
2004-03-11,-0,-0,-0,1009.76,1009.76,-0
2004-03-12,-0,-0,-0,1013.65,1013.65,-0
2004-03-15,-0,-0,-0,977.87,977.87,-0
2004-03-16,-0,-0,-0,967.68,967.68,-0
