Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-01,5150.9,5184.3,5147.45,5174.95,18561877,1382.17
2013-01-02,5210.8,5242,5208.95,5237.6,27962155,1841.39
2013-01-03,5255.75,5255.75,5217.1,5238.95,28372022,1763.87
2013-01-04,5236.7,5244.05,5191.95,5237.6,27285247,1796.03
2013-01-07,5259.25,5259.25,5176.5,5188.3,22707212,1460.62
2013-01-08,5182.25,5220.9,5166.75,5211.85,23679813,1614.76
2013-01-09,5211.25,5220.4,5181.5,5191.35,27345341,2139.43
2013-01-10,5217.5,5219.35,5173.25,5207.7,25154998,1825.96
2013-01-11,5219.55,5220.35,5112.6,5125.3,21260589,1441.81
2013-01-14,5127.2,5200.85,5115.85,5187.3,27953604,1830.3
2013-01-15,5194.6,5226.25,5161.1,5210.35,26153881,1966.14
2013-01-16,5205.05,5205.4,5122.8,5131.3,24392657,1818.38
2013-01-17,5122.3,5143.95,5101.5,5119.5,26848773,1814.19
2013-01-18,5136.2,5171.65,5133.35,5153.15,28836800,2080.74
2013-01-21,5156.2,5160.3,5127.45,5139.6,23709812,1469.8
2013-01-22,5133.7,5165.05,5100.5,5111.55,26739155,1596.55
2013-01-23,5134.05,5153.7,5089.9,5134.3,23809638,1477.02
2013-01-24,5127.05,5140.05,5077.35,5085.6,25297136,1722.8
2013-01-25,5089.8,5142.6,5073.05,5132.45,24781600,1515.09
2013-01-28,5141.9,5167.25,5129.95,5158.8,25467077,2074.85
2013-01-29,5164.75,5216.2,5131.3,5147.15,44995944,4343.23
2013-01-30,5162.75,5173.4,5142.6,5152.85,29880181,2623.67
2013-01-31,5140.1,5170.5,5105.05,5112.85,46973584,3580.14
2013-02-01,5118.05,5127.75,5056.35,5063.6,25186378,1815.69
2013-02-04,5087.2,5129.25,5076.3,5086.35,45293679,2331.58
2013-02-05,5039.2,5072.5,5039.2,5059.05,31981625,1924.87
2013-02-06,5086.5,5097.05,5052.3,5061.2,32443120,1841.75
2013-02-07,5042.85,5099.25,5037.95,5049.25,30888864,1842.19
2013-02-08,5042.8,5070.9,5004.95,5022.85,31329616,2003.64
2013-02-11,5028.2,5037.05,5000.15,5018.8,28557264,2188.16
2013-02-12,5017.1,5037.65,5006.65,5031.4,26077078,1733.45
2013-02-13,5046.35,5074.15,5038.95,5047,30073992,2120.79
2013-02-14,5049.7,5053.9,5001.8,5012.6,37453158,3081.64
2013-02-15,4999.6,5034.1,4989.2,5020.25,29438418,1827.13
2013-02-18,5024.45,5056.65,5015.5,5043.3,22894603,1445.48
2013-02-19,5044.55,5071.6,5023.5,5065.95,21171862,1206.08
2013-02-20,5085.45,5089.15,5039.65,5046.2,25985278,1418.32
2013-02-21,5016.65,5023.3,4932.2,4938.6,61749439,3966.55
2013-02-22,4922.8,4950.6,4902.5,4922.5,28567607,1737.98
2013-02-25,4945.3,4959.7,4901.35,4928.25,28517261,1736.62
2013-02-26,4910.95,4910.95,4805.85,4818.75,27669621,1666.79
2013-02-27,4836.2,4873.4,4818.2,4855,36405029,1968.85
2013-02-28,4883.7,4898.75,4659.35,4685.35,67793168,4344.82
2013-03-01,4698.1,4740.2,4678.65,4718.95,46539920,2427.72
2013-03-04,4702.75,4738.25,4682.05,4723.85,31925293,1811.49
2013-03-05,4749.5,4805.6,4743.8,4798.6,36481741,2046.29
2013-03-06,4827.35,4839.3,4809.8,4835,34800025,2006.12
2013-03-07,4815.8,4887.65,4810.3,4876.35,27876583,1422.6
2013-03-08,4897.5,4997.25,4897.5,4988.45,35192134,1964.85
2013-03-11,4996.35,5025.55,4981.15,4993.5,26904033,1822.62
2013-03-12,4990.6,4999.85,4914.75,4942.55,27326025,1681.03
2013-03-13,4913.35,4914,4824.25,4834.25,25490230,1597.2
2013-03-14,4829.15,4936.85,4752.3,4920.1,47422902,3300.46
2013-03-15,4908.05,4949.05,4848.3,4867.1,42979324,2815.17
2013-03-18,4808.15,4854.55,4794.1,4829.3,29654678,1800.18
2013-03-19,4855.15,4856.75,4694.8,4721.95,49715229,3123.37
2013-03-20,4725.25,4729.75,4623.25,4628.65,42651886,2238.91
2013-03-21,4638.8,4754.8,4634.35,4644.85,51859083,2928.06
2013-03-22,4652.85,4683.2,4624.95,4638.2,42221126,2252.77
2013-03-25,4700.15,4717.3,4616.7,4629.6,41462496,2270.53
2013-03-26,4607.7,4680.15,4604.4,4667.3,35198768,1832.9
2013-03-28,4681.15,4748.2,4621.25,4732.25,41234349,2290.69
2013-04-01,4750.1,4770.45,4718.4,4749.5,19941103,1125.12
2013-04-02,4753.05,4775.15,4715.7,4764.4,24254288,1291.85
2013-04-03,4762.45,4777.25,4682.3,4703.85,33514300,1834.47
2013-04-04,4662.95,4666.2,4606.7,4615.25,30885406,1602.1
2013-04-05,4603.95,4607.45,4544,4578.65,33076190,1919.55
2013-04-08,4568.85,4601.55,4539.4,4543.25,22879243,1211.92
2013-04-09,4575.8,4622.35,4499.9,4513.15,32493311,1788.86
2013-04-10,4545.45,4624.75,4511.6,4613.45,35417533,2091.41
2013-04-11,4636.45,4654.1,4592.45,4639.45,36755252,2397.6
2013-04-12,4620.9,4687.05,4616.1,4674.1,25087763,1656.6
2013-04-15,4657.1,4764.25,4652.8,4711.7,31850108,1934.28
2013-04-16,4709.15,4872,4709.15,4860.15,34478245,2171.67
2013-04-17,4878.5,4948.35,4861.35,4871.95,34426465,2425.45
2013-04-18,4850.5,5010.3,4850.1,5000.55,34431514,2207.54
2013-04-22,5010.8,5126.65,5010.8,5102.95,35416630,2218.99
2013-04-23,5113.15,5113.15,5024.4,5096.5,30855289,2069.72
2013-04-25,5132.95,5211.3,5126,5191.1,48721912,3435.9
2013-04-26,5180.1,5200.65,5128.95,5151,38971521,2384.66
2013-04-29,5157.3,5176.8,5126.05,5157.75,26922953,1607.14
2013-04-30,5164.35,5171.5,5070.1,5123.7,31025905,1969.69
2013-05-02,5121,5220.4,5119.6,5196.95,39501437,2322.58
2013-05-03,5183.4,5183.4,5074.25,5083.3,39339297,2690.01
2013-05-06,5079.1,5092.15,5017.1,5079.55,27845664,1683.8
2013-05-07,5084.25,5171.55,5084.25,5162.65,36959291,1995.16
2013-05-08,5182.1,5233.6,5151.4,5210.5,35318503,1864.05
2013-05-09,5228.05,5231.05,5171.85,5185.7,34233033,2407.12
2013-05-10,5182.35,5236,5167.45,5222.95,27891378,1957.32
2013-05-11,5213.5,5239.85,5210.2,5226.8,1692354,104.04
2013-05-13,5221.35,5253.95,5136.1,5146.25,22092907,1536.5
2013-05-14,5147.45,5195,5127,5161.85,25664391,1676.28
2013-05-15,5188.5,5373.85,5188.5,5366.7,42010530,2908.89
2013-05-16,5348.2,5431.65,5348.2,5417.6,43218532,2567.22
2013-05-17,5410,5458.05,5370.5,5440.8,36872216,2170.07
2013-05-20,5444.35,5473.1,5381.55,5395,31487813,2073.74
2013-05-21,5391.2,5429.6,5352.6,5363.55,31058293,2032.47
2013-05-22,5378.85,5389.15,5321.35,5348.8,22059672,1537.95
2013-05-23,5306.15,5339.35,5217.5,5231.75,36751589,3361.84
2013-05-24,5275.95,5296.35,5214.8,5279.8,28266477,2257.15
2013-05-27,5270.45,5383.05,5260.2,5367.45,21292387,1684.69
2013-05-28,5365,5382.2,5326.95,5357.1,26048362,1814.43
2013-05-29,5354.65,5354.65,5275.65,5320.05,23847225,1525.24
2013-05-30,5276.2,5328.2,5276.2,5310.3,35919700,2696.73
2013-05-31,5283.35,5288.55,5146.55,5157.65,41476704,2331.03
2013-06-03,5154.75,5165.35,5085.7,5102.75,24607245,1601.14
2013-06-04,5114.15,5143.85,5041.95,5048.4,27900589,1655.07
2013-06-05,5042.85,5061.35,5005,5036.8,27193050,1815.78
2013-06-06,5008.4,5107.4,4989.7,5063.4,27988904,1851.87
2013-06-07,5042.65,5115.65,5006,5014.8,31371566,1951.77
2013-06-10,5043.8,5067.25,4969.05,4991.75,24889775,1587.07
2013-06-11,4956.5,4967,4864.55,4876.3,38440874,2494.16
2013-06-12,4860.85,4888.5,4828.5,4849.9,35236944,2314.04
2013-06-13,4793.3,4829.9,4784.6,4795.7,31612297,1961.95
2013-06-14,4852.25,4916.7,4847.95,4909.35,29230292,1926.44
2013-06-17,4911.6,4953.05,4861.4,4942.25,28941225,1933.5
2013-06-18,4935.75,4946.9,4881.05,4891.5,24850597,1511.93
2013-06-19,4884.1,4924.75,4865.15,4918.9,27499402,1508.47
2013-06-20,4848.25,4848.25,4721,4736.6,38088390,2333.32
2013-06-21,4713.25,4742.45,4674.25,4726.15,44738724,2445.52
2013-06-24,4694.85,4697.45,4646.7,4672.9,39315476,2080.97
2013-06-25,4687.85,4722.65,4643.55,4659.35,50224840,2809.72
2013-06-26,4672.4,4690.15,4607.3,4623,38121432,2146.23
2013-06-27,4673.05,4721.6,4656.45,4710.1,53601387,2869.71
2013-06-28,4754.15,4901.15,4754.15,4882,50308849,2519.28
2013-07-01,4876.15,4926.9,4869.05,4920,35687218,1654.81
2013-07-02,4914.45,4937,4865.15,4874.4,34478938,1729.73
2013-07-03,4829.9,4829.9,4752.05,4762.4,39778250,1971.09
2013-07-04,4778.75,4804.6,4726.95,4764.7,55991978,2353.5
2013-07-05,4807.6,4823.15,4780.55,4785.8,39071718,1743.97
2013-07-08,4742.9,4745.6,4663.9,4691.75,39121870,2024.72
2013-07-09,4719.25,4755.45,4718.25,4749.85,37139269,1999.01
2013-07-10,4764.1,4781.35,4710.5,4725.45,32922329,1698.24
2013-07-11,4794.35,4862.4,4793.6,4845.95,34590604,1705.91
2013-07-12,4873.5,4885.15,4814.95,4870.7,35377518,1692.18
2013-07-15,4855.95,4895.7,4833.9,4886.85,29556571,1574.55
2013-07-16,4764.5,4764.5,4655.25,4671.75,58899310,2823.21
2013-07-17,4686.55,4689.4,4555.35,4600.15,56657327,3084.73
2013-07-18,4618.65,4694.5,4556,4676.2,54664888,3286.42
2013-07-19,4689.15,4699.5,4557.95,4583.05,45427092,2611.79
2013-07-22,4570.95,4667.55,4570.95,4649.5,27516006,1376.79
2013-07-23,4690.45,4709.3,4676.5,4695.75,34174040,1817.96
2013-07-24,4623.6,4623.6,4490.55,4510.45,52148556,2841.04
2013-07-25,4493.95,4534.65,4463.95,4470,63874871,3068.15
2013-07-26,4497.75,4510.85,4398.7,4428.7,49642784,2386.44
2013-07-29,4417.8,4424.75,4373.95,4380.1,41783670,1807.23
2013-07-30,4383.2,4434.35,4343.5,4354.55,46653684,2345.72
2013-07-31,4342.4,4342.4,4250.85,4278.4,70711902,3513.79
2013-08-01,4319.35,4366.75,4250.2,4336.7,65328749,2984.19
2013-08-02,4350.7,4370.2,4272.15,4294.75,46530844,2416.26
2013-08-05,4302.9,4333.95,4242.95,4323.9,41931457,1831.88
2013-08-06,4299.75,4299.75,4121.65,4145.8,47378419,2507.09
2013-08-07,4158.15,4168.5,4103.2,4130.05,61401473,3038.2
2013-08-08,4137.35,4209,4130.5,4176.35,44796512,2322.95
2013-08-12,4199.75,4227.9,4136.4,4174.05,52701787,2971.07
2013-08-13,4163.15,4302.8,4119.35,4293.85,40247181,2256.41
2013-08-14,4306.05,4315,4258.6,4299.8,41473870,2074.73
2013-08-16,4257.6,4257.6,4063.3,4073.1,55524875,2911.44
2013-08-19,4056.2,4056.2,3943.15,3976.35,50876382,2361.06
2013-08-20,3888.45,4008.95,3860,3980.35,57815283,2861.52
2013-08-21,4140.75,4179,3969.4,4014.15,62147421,3404.29
2013-08-22,3989.45,4041.1,3913.5,3998.75,57425843,2923.26
2013-08-23,4017.4,4075.5,3964.1,4069,46434815,2505.36
2013-08-26,4090.35,4109.95,4008.4,4033.1,60256357,2305.13
2013-08-27,3967.65,3967.65,3757.9,3784.75,108399998,3437.7
2013-08-28,3721,3758.1,3575.7,3714.1,101814968,4101.52
2013-08-29,3762,3829,3754.75,3815.95,82673166,3416.64
2013-08-30,3820.65,3913.1,3806.75,3890.05,155245178,5458.66
2013-09-02,3918.55,3978,3912.55,3941.4,50881292,2151.55
2013-09-03,3976,3976,3733.6,3749.6,53784084,2486.31
2013-09-04,3749.1,3826.65,3715.55,3812.35,50880828,2390.39
2013-09-05,3962.55,4137.45,3962.55,4110.55,79075194,4329.67
2013-09-06,4132.85,4233.8,4055.6,4219.9,64503744,3477.1
2013-09-10,4280.8,4385.65,4280.8,4369.7,60366699,3366.69
2013-09-11,4346.3,4436.5,4290,4421.55,53854633,2707.14
2013-09-12,4421.1,4421.1,4331.65,4364.85,81921768,3076.3
2013-09-13,4332.75,4397.35,4313.6,4364.55,40792600,2336.5
2013-09-16,4463.8,4480.65,4341.6,4420.95,49841992,2702.28
2013-09-17,4395.55,4397.4,4356.8,4381.55,30053243,1662.69
2013-09-18,4396.15,4435.35,4340.85,4419.5,35216901,1780.97
2013-09-19,4632.7,4705.35,4632.7,4677.95,76152395,4587.05
