Date,Open,High,Low,Close,Shares Traded,Tur11er (Rs. Cr)
2013-01-01,12345.6,12507.7,12345.6,12491.25,64989374,1423.81
2013-01-02,12497.3,12624.9,12497.3,12570.75,83072955,1875.59
2013-01-03,12575.2,12658.2,12548.75,12635.35,93193309,1929.23
2013-01-04,12636.3,12649.35,12555.75,12624,86293931,1721.58
2013-01-07,12626.65,12711.75,12613.75,12640.45,95377970,2101.27
2013-01-08,12640.1,12685.6,12566.05,12633.4,91081826,2095.28
2013-01-09,12637.1,12744,12583.8,12609.4,96588671,2107.51
2013-01-10,12614.9,12695.6,12524.3,12587.15,90396948,2055.84
2013-01-11,12589.4,12629.35,12407.75,12429.1,81626765,1812.8
2013-01-14,12429.15,12628.15,12387.3,12610.25,75657150,1726.08
2013-01-15,12609.7,12679.65,12583.2,12647,97725472,2200.74
2013-01-16,12647.5,12682.5,12460.9,12475.35,93500805,2456.3
2013-01-17,12474.75,12545.05,12425.35,12488.4,100633099,2545.44
2013-01-18,12489.1,12528.9,12415.75,12437.4,102020505,2580.42
2013-01-21,12437.8,12505.3,12428.5,12466.65,104434997,2044.51
2013-01-22,12469.1,12526.7,12308.05,12339.65,109261041,2112.95
2013-01-23,12343.35,12401.25,12171.7,12285.75,107379904,2072.44
2013-01-24,12278.55,12296.9,12054.5,12074.9,114264079,2047.99
2013-01-25,12077.2,12276.5,12042.2,12266.5,106161744,1984.38
2013-01-28,12268.3,12344.3,12242.35,12283.7,86523692,2081.85
2013-01-29,12284.4,12348.55,12171.75,12190.3,124048362,2671.65
2013-01-30,12194.05,12273.2,12156.55,12174.95,120786165,2254.21
2013-01-31,12172.45,12291.8,12162.55,12270.55,123942902,2611.71
2013-02-01,12272.4,12381.75,12272.4,12304.55,88933024,1944.55
2013-02-04,12307.9,12393.5,12240.25,12249.6,86884010,1814.37
2013-02-05,12247,12247,12127.55,12192.55,79966597,2056.88
2013-02-06,12197.65,12332.9,12197.65,12244.85,89446411,2001.32
2013-02-07,12240.2,12303.05,12126.4,12151.65,84190273,1921.17
2013-02-08,12152.75,12183.8,12037.55,12068.35,86997766,1893.53
2013-02-11,12071.95,12094.1,12039.3,12061.25,57335372,1204.23
2013-02-12,12060.9,12126.75,11992.05,12094.65,67811930,1413.3
2013-02-13,12097.1,12179.8,11989.95,12010.95,73083877,1807.23
2013-02-14,12009.25,12029.7,11820.3,11844.4,99409244,2011.3
2013-02-15,11839.35,11892.55,11742.05,11871.35,79466553,1629.59
2013-02-18,11872.55,11944.05,11871.05,11922.9,60925606,1255.38
2013-02-19,11924.3,12053.7,11902.4,12033.75,66562798,1462.17
2013-02-20,12036.7,12089.05,12003.1,12016.05,79253957,1674.2
2013-02-21,12007.7,12007.7,11753.2,11765.8,107880440,3879.14
2013-02-22,11764.25,11867.9,11707.35,11807.3,69110615,1645.93
2013-02-25,11815.2,11890.7,11695.9,11743.7,62170617,1434.47
2013-02-26,11737.6,11738.85,11577.25,11595.5,73820975,1533.63
2013-02-27,11600.9,11769.7,11577.45,11729.25,77993531,1703.87
2013-02-28,11736.2,11845.15,11425.35,11457.75,160685580,3107.12
2013-03-01,11459.3,11612.75,11459.3,11560.95,79252320,2089.2
2013-03-04,11557.95,11557.95,11416.85,11461.3,72357335,1516.56
2013-03-05,11465.55,11639.3,11465.55,11627.95,92648706,1679.14
2013-03-06,11633.3,11763.55,11633.3,11688.4,69178815,1573.6
2013-03-07,11686.45,11747.1,11673.85,11731.45,70110201,1544.04
2013-03-08,11735.45,11871.65,11735.45,11859.35,68714223,1632.76
2013-03-11,11860.6,11932.85,11842.6,11876.8,62225570,1548.65
2013-03-12,11878.95,11912.35,11713.25,11769.05,69565153,1528.8
2013-03-13,11764.35,11764.35,11565.5,11585.5,78082803,1536.4
2013-03-14,11586.05,11703.4,11468.65,11696.55,84879265,1725.16
2013-03-15,11698.2,11808.3,11632.6,11641.65,87725074,2101.11
2013-03-18,11634.4,11668.75,11514.15,11635.65,60869037,1306.61
2013-03-19,11635.9,11678.35,11375.65,11398.75,86815541,1805.38
2013-03-20,11396.3,11416.4,11140.25,11175.4,96606144,1858.29
2013-03-21,11179.6,11306.1,11074.4,11094.8,98082267,2184.91
